Слово(Term), Перевод(RU), Значение в программировании, Пример(Переменная / Текст)
Addition, Сложение, Название самой операции (существительное), "operation_type = \"Addition\""
Addend, Слагаемое, "Любое число, которое участвует в сложении", first_addend = 5
Sum, Сумма, Результат операции сложения, calculation_sum = 10
Plus, Плюс, Союз/предлог для текстового описания формулы, "two plus two"
Subtraction, Вычитание, Название самой операции (существительное), "operation_type = Subtraction"
Minuend, Уменьшаемое, Первое число (из которого вычитают), "minuend_value = 10"
Subtrahend, Вычитаемое, Второе число (которое вычитают), "subtrahend_value = 3"
Difference, Разность, Результат операции вычитания, "result_difference = 7"
Minus, Минус, Союз/предлог для текстового описания формулы, "ten minus three"
Equals, Равно, Глагол-связка для текстового вывода результата, "equals four"
